HITId;HITTypeId;Title;Description;Keywords;Reward;CreationTime;MaxAssignments;RequesterAnnotation;AssignmentDurationInSeconds;AutoApprovalDelayInSeconds;Expiration;NumberOfSimilarHITs;LifetimeInSeconds;AssignmentId;WorkerId;AssignmentStatus;AcceptTime;SubmitTime;AutoApprovalTime;ApprovalTime;RejectionTime;RequesterFeedback;WorkTimeInSeconds;LifetimeApprovalRate;Last30DaysApprovalRate;Last7DaysApprovalRate;Answer.surveycode;Approve;Reject
33TGB4G0LQLA6SZO5R18R40X6J8XT1;3TPZE42KLTGIJXLAPJH17GSFZOVLO5;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.75;Thu May 31 03:29:52 PDT 2018;9;BatchId:3252496;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 03:29:52 PDT 2018;31N2WW6R9TUQU973HKUWS4SD2IFF32;A2541C8MY0BYV3;Approved;Thu May 31 03:31:46 PDT 2018;Thu May 31 03:38:51 PDT 2018;Sun Jun 03 03:38:51 PDT 2018;Thu May 31 10:43:51 PDT 2018;;;425;100% (1/1);100% (1/1);100% (1/1);979802547;;
33TGB4G0LQLA6SZO5R18R40X6J8XT1;3TPZE42KLTGIJXLAPJH17GSFZOVLO5;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.75;Thu May 31 03:29:52 PDT 2018;9;BatchId:3252496;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 03:29:52 PDT 2018;33PPO7FECXJ8MSBQBH6T8ARH9NWIDU;A2WG4XJS7MVT38;Approved;Thu May 31 03:35:15 PDT 2018;Thu May 31 04:00:20 PDT 2018;Sun Jun 03 04:00:20 PDT 2018;Thu May 31 10:43:51 PDT 2018;;;1505;100% (1/1);100% (1/1);100% (1/1);846042612;;
33TGB4G0LQLA6SZO5R18R40X6J8XT1;3TPZE42KLTGIJXLAPJH17GSFZOVLO5;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.75;Thu May 31 03:29:52 PDT 2018;9;BatchId:3252496;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 03:29:52 PDT 2018;3A0EX8ZRNAS1XVSB131QZ8X5WKHYB6;AKG7VBOY97HKA;Approved;Thu May 31 03:35:15 PDT 2018;Thu May 31 03:51:51 PDT 2018;Sun Jun 03 03:51:51 PDT 2018;Thu May 31 10:43:51 PDT 2018;;;996;100% (1/1);100% (1/1);100% (1/1);360128519;;
33TGB4G0LQLA6SZO5R18R40X6J8XT1;3TPZE42KLTGIJXLAPJH17GSFZOVLO5;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.75;Thu May 31 03:29:52 PDT 2018;9;BatchId:3252496;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 03:29:52 PDT 2018;3DH6GAKTY0TXFTVR7HHTLQ48NN3ZYD;AMTTB8JUWRRM7;Approved;Thu May 31 03:31:54 PDT 2018;Thu May 31 03:37:50 PDT 2018;Sun Jun 03 03:37:50 PDT 2018;Thu May 31 10:43:51 PDT 2018;;;356;100% (1/1);100% (1/1);100% (1/1);475660891;;
33TGB4G0LQLA6SZO5R18R40X6J8XT1;3TPZE42KLTGIJXLAPJH17GSFZOVLO5;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.75;Thu May 31 03:29:52 PDT 2018;9;BatchId:3252496;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 03:29:52 PDT 2018;3F0BG9B9MRREVJPLOMPAU6B9DVR7YW;A15QGLWS8CNJFU;Approved;Thu May 31 03:31:52 PDT 2018;Thu May 31 03:38:38 PDT 2018;Sun Jun 03 03:38:38 PDT 2018;Thu May 31 10:43:51 PDT 2018;;;406;100% (1/1);100% (1/1);100% (1/1);83653226;;
33TGB4G0LQLA6SZO5R18R40X6J8XT1;3TPZE42KLTGIJXLAPJH17GSFZOVLO5;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.75;Thu May 31 03:29:52 PDT 2018;9;BatchId:3252496;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 03:29:52 PDT 2018;3HPZF4IVNOXK70KHF3XLAS3NE6JCYV;A3774HPOUKYTX7;Approved;Thu May 31 03:44:14 PDT 2018;Thu May 31 04:00:47 PDT 2018;Sun Jun 03 04:00:47 PDT 2018;Thu May 31 10:43:51 PDT 2018;;;993;100% (1/1);100% (1/1);100% (1/1);865714769;;
33TGB4G0LQLA6SZO5R18R40X6J8XT1;3TPZE42KLTGIJXLAPJH17GSFZOVLO5;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.75;Thu May 31 03:29:52 PDT 2018;9;BatchId:3252496;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 03:29:52 PDT 2018;3PH3VY7DJN1TQO0RSGZ50TJSCF3ZWE;A1KEAHVVML6319;Approved;Thu May 31 03:31:51 PDT 2018;Thu May 31 03:56:26 PDT 2018;Sun Jun 03 03:56:26 PDT 2018;Thu May 31 10:43:51 PDT 2018;;;1475;100% (1/1);100% (1/1);100% (1/1);833850029;;
33TGB4G0LQLA6SZO5R18R40X6J8XT1;3TPZE42KLTGIJXLAPJH17GSFZOVLO5;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.75;Thu May 31 03:29:52 PDT 2018;9;BatchId:3252496;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 03:29:52 PDT 2018;3R6BYFZZP9G2A7EH191KZKHH9DIXFM;A11WCFPJSR5VZP;Approved;Thu May 31 04:02:49 PDT 2018;Thu May 31 04:14:34 PDT 2018;Sun Jun 03 04:14:34 PDT 2018;Thu May 31 10:43:52 PDT 2018;;;705;100% (1/1);100% (1/1);100% (1/1);771544771;;
33TGB4G0LQLA6SZO5R18R40X6J8XT1;3TPZE42KLTGIJXLAPJH17GSFZOVLO5;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.75;Thu May 31 03:29:52 PDT 2018;9;BatchId:3252496;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 03:29:52 PDT 2018;3TS1AR6UQSI8VS8QJWXM5L4T7K1F77;A3KCZB9IL6CVH;Submitted;Thu May 31 03:31:53 PDT 2018;Thu May 31 03:57:40 PDT 2018;Sun Jun 03 03:57:40 PDT 2018;;;;1547;0% (0/0);0% (0/0);0% (0/0);857223550;;
3QD8LUVX4Y28LQOY4VJAOOUJQGP5XL;3VL3OSLWYH2H1D088QMAISAZAW01GT;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.40;Thu May 31 05:37:52 PDT 2018;9;BatchId:3252572;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 05:37:52 PDT 2018;32KTQ2V7RFJIFLO0KGZJE7F8ZBOM9K;ADXHWQLUQBK77;Approved;Thu May 31 06:39:18 PDT 2018;Thu May 31 06:50:48 PDT 2018;Sun Jun 03 06:50:48 PDT 2018;Thu May 31 10:46:18 PDT 2018;;;690;100% (1/1);100% (1/1);100% (1/1);488838410;;
