StartDate;EndDate;Status;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;DistributionChannel;UserLanguage;consent;dilemma;chicken;offer;respond;public;attention1;risk1;willingness_negRec1;willingness_negRec2;willingness_altruism1;description_posRec1;description_negRec3;description_attention2;description_trust;risk160;risk80;risk40;risk60;risk70;risk50;risk20;risk30;risk10;risk120;risk100;risk90;risk110;risk140;risk150;risk130;risk240;risk200;risk180;risk190;risk170;risk220;risk230;risk210;risk280;risk260;risk270;risk250;risk300;risk290;risk310;posRec2;altruism2;gender;age;valCode
31-5-2018 11:15;31-5-2018 11:21;IP Address;100;352;TRUE;31-5-2018 11:21;R_1MPR9DmikqBULIE;anonymous;EN;agree;Defect;Chicken;5 dollars;3 dollars;5 dollars;6 dollars;6;7;1;8;10;0;10;8;Sure payment;Sure payment;50/50 chance;50/50 chance;50/50 chance;;;;;;;;;;;;;;;;;;;;;;;;;;;10 dollars;200;Female;25 - 34;17090220
31-5-2018 10:48;31-5-2018 10:54;IP Address;100;348;TRUE;31-5-2018 10:54;R_2SudgYkPgpKtHuN;anonymous;EN;agree;Defect;Chicken;3 dollars;5 dollars;0 dollars;6 dollars;7;8;5;3;3;5;10;5;Sure payment;Sure payment;Sure payment;;;;50/50 chance;50/50 chance;;;;;;;;;;;;;;;;;;;;;;;;5 dollars;0;Male;25 - 34;24060260
31-5-2018 13:43;31-5-2018 13:53;IP Address;100;652;TRUE;31-5-2018 13:53;R_2eQZR9dRYyuR32K;anonymous;EN;agree;Cooperate;Chicken;5 dollars;5 dollars;1 dollar;6 dollars;0;0;0;9;10;0;10;3;Sure payment;Sure payment;Sure payment;;;;Sure payment;;Sure payment;;;;;;;;;;;;;;;;;;;;;;;15 dollars;0;Female;55 - 64;24972207
31-5-2018 10:48;31-5-2018 10:53;IP Address;100;292;TRUE;31-5-2018 10:53;R_ptHg8eUySGQHEQ1;anonymous;EN;agree;Cooperate;Chicken;1 dollar;3 dollars;2 dollars;6 dollars;3;3;2;6;6;3;10;5;Sure payment;50/50 chance;;;;;;;;50/50 chance;;;;Sure payment;;Sure payment;;;;;;;;;;;;;;;;10 dollars;25;Female;35 - 44;28379478
31-5-2018 11:05;31-5-2018 11:09;IP Address;100;226;TRUE;31-5-2018 11:09;R_T1Mjehvjn9sF52V;anonymous;EN;agree;Cooperate;Chicken;5 dollars;1 dollar;0 dollars;6 dollars;6;0;0;10;10;0;10;4;Sure payment;50/50 chance;;;;;;;;50/50 chance;;;;50/50 chance;Sure payment;;;;;;;;;;;;;;;;;5 dollars;0;Male;55 - 64;34317924
31-5-2018 10:40;31-5-2018 10:47;IP Address;100;376;TRUE;31-5-2018 10:47;R_UsflBwvKjKs1rWN;anonymous;EN;agree;Defect;Chicken;2 dollars;3 dollars;0 dollars;6 dollars;4;9;10;6;10;9;10;5;Sure payment;Sure payment;Sure payment;;;;Sure payment;;Sure payment;;;;;;;;;;;;;;;;;;;;;;;5 dollars;10;Male;18 - 24;35016304
31-5-2018 10:47;31-5-2018 10:59;IP Address;100;707;TRUE;31-5-2018 10:59;R_2R4AZvNize0pFco;anonymous;EN;agree;Defect;Chicken;5 dollars;5 dollars;4 dollars;6 dollars;0;2;0;0;9;7;10;2;Sure payment;Sure payment;50/50 chance;50/50 chance;50/50 chance;;;;;;;;;;;;;;;;;;;;;;;;;;;10 dollars;0;Female;35 - 44;35605862
31-5-2018 10:45;31-5-2018 10:50;IP Address;100;274;TRUE;31-5-2018 10:50;R_sMDUCTOxqOqWnyV;anonymous;EN;agree;Defect;Chicken;3 dollars;3 dollars;10 dollars;6 dollars;7;5;6;6;3;5;10;7;Sure payment;Sure payment;Sure payment;;;;50/50 chance;50/50 chance;;;;;;;;;;;;;;;;;;;;;;;;5 dollars;500;Male;25 - 34;37206039
31-5-2018 15:33;31-5-2018 15:45;IP Address;100;682;TRUE;31-5-2018 15:45;R_1n9g18K3zOQWpCu;anonymous;EN;agree;Cooperate;Chicken;5 dollars;2 dollars;5 dollars;6 dollars;2;4;4;6;7;2;10;5;Sure payment;Sure payment;50/50 chance;Sure payment;;50/50 chance;;;;;;;;;;;;;;;;;;;;;;;;;;20 dollars;10;Female;55 - 64;38935293
31-5-2018 10:37;31-5-2018 10:42;IP Address;100;319;TRUE;31-5-2018 10:42;R_xhkWldswr5SrcLD;anonymous;EN;agree;Cooperate;Chicken;5 dollars;1 dollar;1 dollar;6 dollars;9;0;0;10;10;0;10;10;50/50 chance;;;;;;;;;;;;;;;;Sure payment;Sure payment;Sure payment;;Sure payment;;;;;;;;;;;5 dollars;25;Female;35 - 44;41020534
31-5-2018 10:38;31-5-2018 10:47;IP Address;100;564;TRUE;31-5-2018 10:47;R_41UlOIOyJEyZhUl;anonymous;EN;agree;Cooperate;Dare;4 dollars;4 dollars;2 dollars;6 dollars;3;0;0;7;10;0;10;9;Sure payment;50/50 chance;;;;;;;;50/50 chance;;;;50/50 chance;Sure payment;;;;;;;;;;;;;;;;;15 dollars;0;Female;25 - 34;41742977
31-5-2018 10:38;31-5-2018 10:42;IP Address;100;281;TRUE;31-5-2018 10:42;R_8Iz5SrEctkiqlB7;anonymous;EN;agree;Cooperate;Chicken;5 dollars;4 dollars;10 dollars;6 dollars;3;4;3;8;10;1;10;4;Sure payment;50/50 chance;;;;;;;;Sure payment;Sure payment;50/50 chance;;;;;;;;;;;;;;;;;;;;20 dollars;0;Female;25 - 34;44005649
31-5-2018 10:37;31-5-2018 10:43;IP Address;100;332;TRUE;31-5-2018 10:43;R_3lLkJjrEsZDfFyf;anonymous;EN;agree;Cooperate;Chicken;5 dollars;5 dollars;5 dollars;6 dollars;6;1;1;10;8;1;10;8;Sure payment;50/50 chance;;;;;;;;Sure payment;Sure payment;50/50 chance;;;;;;;;;;;;;;;;;;;;20 dollars;100;Female;55 - 64;51520997
31-5-2018 14:35;31-5-2018 14:43;IP Address;100;470;TRUE;31-5-2018 14:43;R_r0wOwHhpAh6cZ8t;anonymous;EN;agree;Defect;Dare;5 dollars;2 dollars;5 dollars;6 dollars;3;1;1;9;10;0;10;7;Sure payment;Sure payment;Sure payment;;;;50/50 chance;50/50 chance;;;;;;;;;;;;;;;;;;;;;;;;10 dollars;100;Female;35 - 44;51932991
31-5-2018 10:41;31-5-2018 10:46;IP Address;100;311;TRUE;31-5-2018 10:46;R_phDiaRinKcs0jo5;anonymous;EN;agree;Defect;Chicken;3 dollars;1 dollar;0 dollars;6 dollars;7;0;1;5;8;9;10;9;50/50 chance;;;;;;;;;;;;;;;;Sure payment;Sure payment;Sure payment;;Sure payment;;;;;;;;;;;0 dollars;200;Male;25 - 34;57016532
31-5-2018 11:02;31-5-2018 11:10;IP Address;100;449;TRUE;31-5-2018 11:10;R_3dKtZybMSJ9OXZ0;anonymous;EN;agree;Cooperate;Chicken;5 dollars;5 dollars;2 dollars;6 dollars;7;0;0;10;8;0;10;9;Sure payment;Sure payment;50/50 chance;50/50 chance;Sure payment;;;;;;;;;;;;;;;;;;;;;;;;;;;0 dollars;100;Female;65 - 74;69096955
31-5-2018 04:34;31-5-2018 04:38;IP Address;100;230;TRUE;31-5-2018 04:38;R_2CPvu34ZudaYq3C;anonymous;EN;agree;Cooperate;Chicken;4 dollars;5 dollars;5 dollars;6 dollars;6;6;7;6;6;7;;6;50/50 chance;;;;;;;;;;;;;;;;50/50 chance;;;;;;;;Sure payment;;;;50/50 chance;;Sure payment;20 dollars;1000;Male;25 - 34;83653226
31-5-2018 11:11;31-5-2018 11:22;IP Address;100;624;TRUE;31-5-2018 11:22;R_2TLh1xXSSLQaNzT;anonymous;EN;agree;Cooperate;Dare;10 dollars;6 dollars;10 dollars;6 dollars;5;4;3;8;10;0;10;6;Sure payment;Sure payment;50/50 chance;50/50 chance;Sure payment;;;;;;;;;;;;;;;;;;;;;;;;;;;20 dollars;100;Female;55 - 64;102422442
31-5-2018 12:29;31-5-2018 12:30;IP Address;100;66;TRUE;31-5-2018 12:30;R_31GUYBStErJKSgE;anonymous;EN;agree;Cooperate;Chicken;1 dollar;2 dollars;5 dollars;6 dollars;5;3;4;4;5;5;10;4;50/50 chance;;;;;;;;;;;;;;;;50/50 chance;;;;;;;;Sure payment;;;;Sure payment;Sure payment;;15 dollars;0;Male;25 - 34;104730891
